Course number,Course title,Units,Type,Section,Session,Time,Days,Seats,Registered,Instructor,Term,Department,Year,Semester,AY,matched_name
PPD-373,Public Policy and Planning Analysis,4.0,Lecture,51122R,60.0,8:00-9:50am,"Tue, Thu",32.0,32.0,Grace Bahng,20211,Public Policy and Management,2021,SP,AY21,Grace Bahng
PPD-400,Topics in Public Policy and Urban Studies,4.0,Lecture,51149R,60.0,12:00-1:50pm,"Tue, Thu",20.0,21.0,David Sloane,20211,Urban Planning and Spatial Management,2021,SP,AY21,David Sloane
PPD-402,Management of Public and Nonprofit Organizations,4.0,Lecture,51136R,60.0,6:00-9:20pm,Monday,20.0,13.0,Deborah Natoli,20211,Public Policy and Management,2021,SP,AY21,Deborah J. Natoli
PPD-410,Comparative Urban Development,4.0,Lecture,51115R,60.0,6:00-9:20pm,Wednesday,25.0,23.0,Rym Kaki,20211,Public Policy and Management,2021,SP,AY21,Rym Kaki
PPD-414,Community Health Policy and Planning,4.0,Lecture,51128R,60.0,10:00-11:50am,"Tue, Thu",25.0,23.0,Lavonna Lewis,20211,Health Policy and Management,2021,SP,AY21,LaVonna B. Lewis
PPD-415,Health Policy,4.0,Lecture,51125R,60.0,10:00-11:50am,"Mon, Wed",25.0,18.0,Darius Lakdawalla,20211,Health Policy and Management,2021,SP,AY21,Darius Lakdawalla
PPD-478,Social Innovation,4.0,Lecture,51137R,60.0,10:00-11:50am,"Mon, Wed",30.0,21.0,Nicolas Duquette,20211,Public Policy and Management,2021,SP,AY21,Nicolas Duquette
PPD-503,Economics for Public Policy,4.0,Lecture,51220R,60.0,6:00-9:20pm,Monday,60.0,57.0,Antonio Bento,20211,Public Policy and Management,2021,SP,AY21,Antonio M. Bento
PPD-503,Economics for Public Policy,4.0,Lecture,51462D,593.0,TBA,,25.0,23.0,Brandon De Bruhl Joshua Russell-Fritch,20211,Health Policy and Management,2021,SP,AY21,Wändi Bruine de Bruin
PPD-504,Essential Statistics for Public Management,2.0,Lecture,51236R,60.0,4:00-5:50pm,Monday,32.0,26.0,Mark Phillips,20211,Public Policy and Management,2021,SP,AY21,Mark Phillips
PPD-504,Essential Statistics for Public Management,2.0,Lecture,51393R,597.0,6:00-7:50pm,Monday,32.0,31.0,Mark Phillips,20211,Public Policy and Management,2021,SP,AY21,Mark Phillips
PPD-504,Essential Statistics for Public Management,2.0,Lecture,51487D,593.0,TBA,,20.0,13.0,William Leach,20211,Public Policy and Management,2021,SP,AY21,William Leach
PPD-512,Health Administration Residency Seminar,2.0,Lecture,51277D,60.0,6:00-7:50pm,Wednesday,80.0,73.0,Michael Low,20211,Health Policy and Management,2021,SP,AY21,Michael E. Harris
PPD-523,Urban and International Development,4.0,Lecture,51212R,60.0,8:30-11:50am,Wednesday,60.0,45.0,Eric Heikkila,20211,Urban Planning and Spatial Management,2021,SP,AY21,Eric Heikkila
PPD-528,Physical Planning: Urban and Community Design,2.0,Lecture,51222R,60.0,2:00-3:50pm,Tuesday,30.0,27.0,Elizabeth Falletta,20211,Urban Planning and Spatial Management,2021,SP,AY21,Liz Falletta
PPD-528,Physical Planning: Urban and Community Design,2.0,Lecture,51251R,60.0,2:00-3:50pm,Thursday,30.0,21.0,Elizabeth Falletta,20211,Urban Planning and Spatial Management,2021,SP,AY21,Liz Falletta
PPD-540,Fundamentals of Public Administration,4.0,Lecture,51467D,593.0,TBA,,20.0,8.0,Tara Blanc,20211,Public Policy and Management,2021,SP,AY21,Tara Blanc
PPD-540,Fundamentals of Public Administration,4.0,Lecture,51468D,593.0,TBA,,50.0,13.0,Tara Blanc Paul Bentley,20211,Public Policy and Management,2021,SP,AY21,Tara Blanc
PPD-540,Fundamentals of Public Administration,4.0,Lecture,51489D,593.0,TBA,,25.0,16.0,Tara Blanc William Leach,20211,Public Policy and Management,2021,SP,AY21,Tara Blanc
PPD-541,Public Financial Management and Budgeting,4.0,Lecture,51214R,60.0,6:00-9:20pm,Thursday,26.0,27.0,Michael Thom,20211,Public Policy and Management,2021,SP,AY21,Michael Thom
PPD-541,Public Financial Management and Budgeting,4.0,Lecture,51246R,60.0,2:00-5:20pm,Thursday,28.0,28.0,Michael Thom,20211,Public Policy and Management,2021,SP,AY21,Michael Thom
PPD-541,Public Financial Management and Budgeting,4.0,Lecture,51470D,593.0,TBA,,25.0,19.0,John Calanni Steve Shea,20211,Real Estate Development,2021,SP,AY21,John Loper
PPD-545,Public and Nonprofit Organizational Behavior,4.0,Lecture,51475D,593.0,TBA,,20.0,16.0,Kelly Rawlings Adrianne Ward,20211,Public Policy and Management,2021,SP,AY21,Kelly Rawlings
PPD-545,Public and Nonprofit Organizational Behavior,4.0,Lecture,51485D,593.0,TBA,,50.0,28.0,Kelly Rawlings,20211,Public Policy and Management,2021,SP,AY21,Kelly Rawlings
PPD-546,Capstone in Public Administration,4.0,Lecture,51265D,60.0,6:00-9:20pm,Wednesday,20.0,16.0,William Resh,20211,Public Policy and Management,2021,SP,AY21,William G. Resh
PPD-546,Capstone in Public Administration,4.0,Lecture,51269D,60.0,6:00-9:20pm,Monday,20.0,23.0,Peter Robertson,20211,Public Policy and Management,2021,SP,AY21,Peter J. Robertson
PPD-546,Capstone in Public Administration,4.0,Lecture,51401D,530.0,TBA,,20.0,14.0,Lois Takahashi,20211,Public Policy and Management,2021,SP,AY21,Lois M. Takahashi
PPD-546,Capstone in Public Administration,4.0,Lecture,51476D,593.0,TBA,,20.0,11.0,Dr. Dora Kingsley Vertenten Adam James,20211,Public Policy and Management,2021,SP,AY21,Dora Kingsley Vertenten
PPD-546,Capstone in Public Administration,4.0,Lecture,51504D,60.0,6:00-9:20pm,Thursday,20.0,22.0,Nicole Esparza,20211,Public Policy and Management,2021,SP,AY21,Nicole E. Esparza
PPD-561b,Policy Analysis Practicum,3.0,Lecture,51225D,60.0,6:00-8:50pm,Tuesday,70.0,69.0,Juliet Musso Grace Bahng,20211,Public Policy and Management,2021,SP,AY21,Grace Bahng
PPD-569,Applied International Policy Analysis and Management Project,4.0,Lecture,51353D,785.0,9:00-12:20pm,Monday,20.0,13.0,Rym Kaki,20211,Public Policy and Management,2021,SP,AY21,Rym Kaki
PPD-599,Analytics and Operations for Healthcare Management,2.0,Lecture,51307D,791.0,TBA,,31.0,30.0,Dan Mirakhor Antoinne Harris,20211,Health Policy and Management,2021,SP,AY21,Michael E. Harris
PPD-599,Advanced Urban Analytics,4.0,Lecture,51511D,60.0,2:00-5:20pm,Wednesday,30.0,17.0,Geoff Boeing,20211,Urban Planning and Spatial Management,2021,SP,AY21,Geoff Boeing
PPD-611,Policy Issues in Planning and Development,4.0,Lecture,51515R,60.0,8:30-11:50am,Thursday,25.0,8.0,Eric Heikkila,20211,Urban Planning and Spatial Management,2021,SP,AY21,Eric Heikkila
PPD-628,Urban Planning and Social Policy,4.0,Lecture,51478D,593.0,TBA,,50.0,28.0,William Leach,20211,Public Policy and Management,2021,SP,AY21,William Leach
PPD-631,"Geographic Information Systems for Policy, Planning, and Development",2.0,Lecture,51203R,60.0,12:00-1:50pm,Wednesday,16.0,11.0,Mark Hanson,20211,ROTC,2021,SP,AY21,Lt. Col Mark R. Burley
PPD-647,Finance of the Public Sector,4.0,Lecture,51288R,60.0,6:00-9:20pm,Wednesday,24.0,16.0,Michael Thom,20211,Public Policy and Management,2021,SP,AY21,Michael Thom
PPD-672,Collaborative Governance,4.0,Lecture,51500R,60.0,6:00-9:20pm,Thursday,28.0,24.0,Frank Zerunyan,20211,Public Policy and Management,2021,SP,AY21,Frank V. Zerunyan
PPD-673,Strategic Planning in the Public Sector,4.0,Lecture,51480D,593.0,TBA,,25.0,12.0,Tara Blanc,20211,Public Policy and Management,2021,SP,AY21,Tara Blanc
PPD-677,International Development Administration,4.0,Lecture,51244R,60.0,6:00-9:20pm,Monday,32.0,9.0,Rym Kaki,20211,Public Policy and Management,2021,SP,AY21,Rym Kaki
PPD-685,Human Resources Management in Public and Non-Profit Sectors,2.0,Lecture,51483D,593.0,TBA,,20.0,4.0,Tara Blanc,20211,Public Policy and Management,2021,SP,AY21,Tara Blanc
PPD-686,U.S. Immigration Policy,4.0,Lecture,51274R,60.0,2:00-5:20pm,Monday,32.0,15.0,Roberto Suro,20211,Public Policy and Management,2021,SP,AY21,Roberto Suro
PPD-689,The Nonprofit Sector and Philanthropy,4.0,Lecture,51482D,593.0,TBA,,40.0,14.0,Kelly Rawlings Elizabeth Devaney,20211,Public Policy and Management,2021,SP,AY21,Kelly Rawlings
PPD-689,The Nonprofit Sector and Philanthropy,4.0,Lecture,51488D,593.0,TBA,,20.0,15.0,Kelly Rawlings,20211,Public Policy and Management,2021,SP,AY21,Kelly Rawlings
PPD-689,The Nonprofit Sector and Philanthropy,4.0,Lecture,51512R,60.0,6:00-9:20pm,Wednesday,26.0,11.0,Alexandra Graddy-Reed,20211,Public Policy and Management,2021,SP,AY21,Alexandra Graddy-Reed
PPD-697,Cultural Proficiency in Health Management and Policy,2.0,Lecture,51282R,60.0,6:00-7:50pm,Tuesday,25.0,19.0,Lavonna Lewis,20211,Health Policy and Management,2021,SP,AY21,LaVonna B. Lewis
PPD-710b,Research Seminar,2.0,Lecture,51284D,60.0,2:00-3:50pm,Wednesday,13.0,12.0,Jeffery Jenkins,20211,Public Policy and Management,2021,SP,AY21,Jeffery A. Jenkins
PPD-794a,Doctoral Dissertation,2.0,Lecture,51254D,1.0,TBA,,10.0,2.0,Juliet Musso,20211,Public Policy and Management,2021,SP,AY21,Juliet Ann Musso
PPD-794b,Doctoral Dissertation,2.0,Lecture,51255D,1.0,TBA,,12.0,10.0,Juliet Musso,20211,Public Policy and Management,2021,SP,AY21,Juliet Ann Musso
PPD-794c,Doctoral Dissertation,2.0,Lecture,51256D,1.0,TBA,,10.0,1.0,Juliet Musso,20211,Public Policy and Management,2021,SP,AY21,Juliet Ann Musso
PPD-794d,Doctoral Dissertation,2.0,Lecture,51257D,1.0,TBA,,11.0,11.0,Juliet Musso,20211,Public Policy and Management,2021,SP,AY21,Juliet Ann Musso
PPD-794z,Doctoral Dissertation,0.0,Lecture,51258D,1.0,TBA,,11.0,8.0,Juliet Musso,20211,Public Policy and Management,2021,SP,AY21,Juliet Ann Musso
PPDE-505,Professional Workshop in Public Administration,2.0,Lecture,50925D,60.0,6:00-7:15pm,Wednesday,23.0,23.0,Juliet Musso,20211,Public Policy and Management,2021,SP,AY21,Juliet Ann Musso
PPDE-505,Professional Workshop in Public Administration,2.0,Lecture,50991D,530.0,TBA,,28.0,15.0,Tara Blanc,20211,Public Policy and Management,2021,SP,AY21,Tara Blanc
PPDE-505,Professional Workshop in Public Administration,2.0,Lecture,51055R,791.0,TBA,,25.0,5.0,Eric Alegria,20211,ROTC,2021,SP,AY21,LTC Marvin Eric Polk III
PPDE-506,Professional Residency in Public Administration,1.0,Lecture,51072D,63.0,TBA,,25.0,16.0,Dr. Dora Kingsley Vertenten Dominique Samario,20211,Public Policy and Management,2021,SP,AY21,Dora Kingsley Vertenten
PPDE-506,Professional Residency in Public Administration,1.0,Lecture,51073D,63.0,TBA,,25.0,13.0,Dr. Dora Kingsley Vertenten John Rogers,20211,Public Policy and Management,2021,SP,AY21,Dora Kingsley Vertenten
PPDE-506,Professional Residency in Public Administration,1.0,Lecture,51074D,63.0,TBA,,25.0,9.0,Dr. Dora Kingsley Vertenten Iridian Carranza,20211,Public Policy and Management,2021,SP,AY21,Dora Kingsley Vertenten
PPDE-641,Art and the City,4.0,Lecture,50916R,60.0,8:30-11:50am,Monday,30.0,18.0,Elizabeth Halkett,20211,Urban Planning and Spatial Management,2021,SP,AY21,Elizabeth Currid-Halkett
PPDE-647,Civic Engagement in Governance,4.0,Lecture,50990R,530.0,TBA,,28.0,11.0,Mindy Romero,20211,Public Policy and Management,2021,SP,AY21,Mindy Romero
PPDE-668,Applied Econometrics for Program Evaluation,4.0,Lecture,50910D,60.0,2:00-5:20pm,Thursday,32.0,18.0,T.J. Mccarthy,20211,Public Policy and Management,2021,SP,AY21,T.J. McCarthy
PPDE-670,American Contemporary Homegrown Violent Extremism,4.0,Lecture,50920R,60.0,6:00-9:20pm,Monday,32.0,20.0,Erroll Southers,20211,Public Policy and Management,2021,SP,AY21,Erroll G. Southers
PLUS-653,Leading Change and Innovation in Urban Communities,4.0,Lecture,51557D,60.0,TBA,,18.0,14.0,Peter Robertson,20211,Public Policy and Management,2021,SP,AY21,Peter J. Robertson
PLUS-671,Leading a Collaborative City,4.0,Lecture,51542D,919.0,5:30-6:45pm,Monday,25.0,14.0,Frank Zerunyan,20211,Public Policy and Management,2021,SP,AY21,Frank V. Zerunyan
PLUS-694b,"Planning, Design and Development Professional Dissertation",2.0,Lecture,51551D,1.0,TBA,,18.0,10.0,Deborah Natoli,20211,Public Policy and Management,2021,SP,AY21,Deborah J. Natoli
PLUS-694d,"Planning, Design and Development Professional Dissertation",2.0,Lecture,51553D,1.0,TBA,,18.0,1.0,Deborah Natoli,20211,Public Policy and Management,2021,SP,AY21,Deborah J. Natoli
PLUS-694z,"Planning, Design and Development Professional Dissertation",0.0,Lecture,51554D,1.0,TBA,,18.0,1.0,Deborah Natoli,20211,Public Policy and Management,2021,SP,AY21,Deborah J. Natoli
RED-325,Introduction to Finance in Cities,4.0,Lecture,51670R,60.0,2:00-3:50pm,"Mon, Wed",40.0,34.0,John Loper,20211,Real Estate Development,2021,SP,AY21,John Loper
RED-417,History of Planning and Development,4.0,Lecture,51657R,60.0,10:00-11:50am,"Mon, Wed",60.0,60.0,David Sloane,20211,Urban Planning and Spatial Management,2021,SP,AY21,David Sloane
RED-425,Designing Livable Communities,4.0,Lecture,51655R,1.0,12:00-1:50pm,"Mon, Wed",25.0,25.0,Elizabeth Falletta,20211,Urban Planning and Spatial Management,2021,SP,AY21,Liz Falletta
RED-435,Analyzing Real Estate Markets,4.0,Lecture,51664R,60.0,10:00-11:50am,"Tue, Thu",35.0,35.0,Marylynne Boorn,20211,Real Estate Development,2021,SP,AY21,Mary Lynne Boorn
RED-435,Analyzing Real Estate Markets,4.0,Lecture,51667R,60.0,6:00-9:20pm,Monday,28.0,25.0,William Fishel Matthew Stewart,20211,Public Policy and Management,2021,SP,AY21,William Leach
RED-437,Advanced Finance and Investment for Real Estate Development,4.0,Lecture,51668R,1.0,8:00-9:50am,"Tue, Thu",45.0,30.0,Spencer Couts,20211,Real Estate Development,2021,SP,AY21,Spencer Couts
RED-546,Applications of Real Estate Finance to Problems of Development,3.0,Lecture,51601D,38.0,6:00-8:50pm,Tuesday,25.0,17.0,Christian Redfearn,20211,Real Estate Development,2021,SP,AY21,Christian L. Redfearn
RED-546,Applications of Real Estate Finance to Problems of Development,3.0,Lecture,51620D,38.0,2:00-4:50pm,Thursday,20.0,15.0,Christian Redfearn,20211,Real Estate Development,2021,SP,AY21,Christian L. Redfearn
HMGT-520,Leading People and Health Care Organizations,4.0,Lecture,51710D,820.0,TBA,,15.0,5.0,Lisa Ozaeta,20211,Health Policy and Management,2021,SP,AY21,Lisa Ozaeta
HMGT-540,"Health Economics, Financing and Reimbursement",4.0,Lecture,51719D,820.0,TBA,,10.0,8.0,Paul Ginsburg,20211,Health Policy and Management,2021,SP,AY21,Paul B. Ginsburg
HMGT-575,Managing and Improving Health,4.0,Lecture,51724D,820.0,TBA,,30.0,28.0,Michael Harris,20211,Health Policy and Management,2021,SP,AY21,Michael E. Harris
PPD-240g,Citizenship and Public Ethics,4.0,Lecture,51140D,60.0,10:00-11:50am,"Wed, Fri",45.0,40.0,Grace Bahng,20203,Public Policy and Management,2020,F,AY21,Grace Bahng
PPD-245g,The Urban Context for Policy and Planning,4.0,Lecture,51105D,60.0,12:00-1:50pm,"Mon, Wed",71.0,61.0,Genevieve Giuliano,20203,Urban Planning and Spatial Management,2020,F,AY21,Genevieve Giuliano
PPD-300,Social Justice Issues in Public Policy and Urban Planning .,4.0,Lecture,51119R,60.0,4:00-5:50pm,"Tue, Thu",45.0,43.0,Lavonna Lewis,20203,Health Policy and Management,2020,F,AY21,LaVonna B. Lewis
PPD-303,"Statistics for Policy, Planning, and Development",4.0,Lecture,51104R,60.0,8:00-9:50am,"Mon, Wed",32.0,31.0,John Romley,20203,Health Policy and Management,2020,F,AY21,John A. Romley
PPD-303,"Statistics for Policy, Planning, and Development",4.0,Lecture,51112R,60.0,10:00-11:50am,"Mon, Wed",30.0,33.0,John Romley,20203,Health Policy and Management,2020,F,AY21,John A. Romley
PPD-313,Finance of the Public Sector,4.0,Lecture,51113R,60.0,12:00-1:50pm,"Tue, Thu",35.0,33.0,Mark Phillips,20203,Public Policy and Management,2020,F,AY21,Mark Phillips
PPD-315,Analytic Foundations for Public Policy,4.0,Lecture,51106R,60.0,10:00-11:50am,"Tue, Thu",42.0,32.0,Pamela Mccann,20203,Public Policy and Management,2020,F,AY21,Pamela McCann
PPD-325,Fundamentals of Health Policy and Management,4.0,Lecture,51108R,60.0,12:00-1:50pm,"Mon, Wed",32.0,29.0,Jason Doctor,20203,Health Policy and Management,2020,F,AY21,Jason Doctor
PPD-357,Government and Business,4.0,Lecture,51139R,60.0,12:00-1:50pm,"Tue, Thu",32.0,30.0,Michael Thom,20203,Public Policy and Management,2020,F,AY21,Michael Thom
PPD-361,"Sustainable Communities, Policy and Planning",4.0,Lecture,51148R,60.0,2:00-3:50pm,"Mon, Wed",60.0,60.0,Antonio Bento,20203,Public Policy and Management,2020,F,AY21,Antonio M. Bento
PPD-390,Special Problems,1.0-4.0 units,Lecture,51199D,523.0,TBA,,1.0,1.0,Mary Lynne Boorn,20203,Real Estate Development,2020,F,AY21,Mary Lynne Boorn
PPD-404,Empirical Methods for Public Policy,4.0,Lecture,51130R,60.0,10:00-11:50am,"Tue, Thu",30.0,9.0,T.J. Mccarthy,20203,Public Policy and Management,2020,F,AY21,T.J. McCarthy
PPD-413,Administration of Health Care Organizations,4.0,Lecture,51147R,60.0,10:00-11:50am,"Mon, Wed",32.0,15.0,Philip Dalton,20203,Health Policy and Management,2020,F,AY21,Phil Dalton
PPD-478,Social Innovation,4.0,Lecture,51125R,60.0,12:00-1:50pm,"Tue, Thu",32.0,22.0,Alexandra Graddy-Reed,20203,Public Policy and Management,2020,F,AY21,Alexandra Graddy-Reed
PPD-503,Economics for Public Policy,4.0,Lecture,51216D,60.0,2:00-5:20pm,Wednesday,60.0,50.0,Mark Phillips,20203,Public Policy and Management,2020,F,AY21,Mark Phillips
PPD-503,Economics for Public Policy,4.0,Lecture,51217D,60.0,6:00-9:20pm,Monday,35.0,33.0,Antonio Bento,20203,Public Policy and Management,2020,F,AY21,Antonio M. Bento
PPD-503,Economics for Public Policy,4.0,Lecture,51501R,60.0,6:00-9:20pm,Wednesday,32.0,31.0,Antonio Bento,20203,Public Policy and Management,2020,F,AY21,Antonio M. Bento
PPD-504,Essential Statistics for Public Management,2.0,Lecture,51288R,60.0,6:00-7:50pm,Wednesday,20.0,28.0,Mark Phillips,20203,Public Policy and Management,2020,F,AY21,Mark Phillips
PPD-509,Problems and Issues in the Health Field,4.0,Lecture,51206D,60.0,6:00-9:20pm,Wednesday,40.0,37.0,Howard Greenwald,20203,Health Policy and Management,2020,F,AY21,Howard Greenwald
PPD-509,Problems and Issues in the Health Field,4.0,Lecture,51275D,60.0,2:00-5:20pm,Wednesday,45.0,43.0,Philip Dalton,20203,Health Policy and Management,2020,F,AY21,Phil Dalton
PPD-516,Financial Accounting for Health Care Organizations,4.0,Lecture,51500D,60.0,6:00-9:20pm,Monday,41.0,38.0,Eric Delgado,20203,ROTC,2020,F,AY21,LTC Marvin Eric Polk III
PPD-531L,Planning Studio,"4.0-12.0 units, max 12",Lecture-Lab,51241D,60.0,6:00-9:20pm,Thursday,25.0,20.0,Eric Shen,20203,ROTC,2020,F,AY21,LTC Marvin Eric Polk III
PPD-534,"Data, Evidence, and Communication of the Public Good",4.0,Lecture,51509R,60.0,2:00-5:20pm,Thursday,60.0,45.0,Geoff Boeing,20203,Urban Planning and Spatial Management,2020,F,AY21,Geoff Boeing
PPD-540,Fundamentals of Public Administration,4.0,Lecture,51215R,60.0,6:00-9:20pm,Wednesday,24.0,18.0,Yan Tang,20203,Public Policy and Management,2020,F,AY21,Shui Yan Tang
PPD-540,Fundamentals of Public Administration,4.0,Lecture,51252R,60.0,6:00-9:20pm,Tuesday,24.0,24.0,William Resh,20203,Public Policy and Management,2020,F,AY21,William G. Resh
PPD-540,Fundamentals of Public Administration,4.0,Lecture,51400D,530.0,TBA,,28.0,9.0,William Resh,20203,Public Policy and Management,2020,F,AY21,William G. Resh
PPD-540,Fundamentals of Public Administration,4.0,Lecture,51462D,593.0,TBA,,25.0,17.0,Tara Blanc,20203,Public Policy and Management,2020,F,AY21,Tara Blanc
PPD-540,Fundamentals of Public Administration,4.0,Lecture,51471D,593.0,TBA,,25.0,13.0,Tara Blanc,20203,Public Policy and Management,2020,F,AY21,Tara Blanc
PPD-540,Fundamentals of Public Administration,4.0,Lecture,51472D,593.0,TBA,,25.0,17.0,Tara Blanc Logan O'Shaughnessy,20203,Public Policy and Management,2020,F,AY21,Tara Blanc
PPD-540,Fundamentals of Public Administration,4.0,Lecture,51478D,593.0,TBA,,25.0,17.0,Tara Blanc Cornelious Burke,20203,Public Policy and Management,2020,F,AY21,Tara Blanc
PPD-541,Public Financial Management and Budgeting,4.0,Lecture,51401D,530.0,6:00-7:30pm,Tuesday,28.0,18.0,Juliet Musso,20203,Public Policy and Management,2020,F,AY21,Juliet Ann Musso
PPD-542,Policy and Program Evaluation,4.0,Lecture,51237R,60.0,6:00-9:20pm,Monday,20.0,20.0,Nicole Esparza,20203,Public Policy and Management,2020,F,AY21,Nicole E. Esparza
PPD-542,Policy and Program Evaluation,4.0,Lecture,51393D,597.0,6:00-9:00pm,Thursday,23.0,21.0,Lois Takahashi,20203,Public Policy and Management,2020,F,AY21,Lois M. Takahashi
PPD-542,Policy and Program Evaluation,4.0,Lecture,51463D,593.0,TBA,,25.0,17.0,William Leach,20203,Public Policy and Management,2020,F,AY21,William Leach
PPD-545,Public and Nonprofit Organizational Behavior,4.0,Lecture,51226R,60.0,2:00-5:20pm,Wednesday,32.0,32.0,Deborah Natoli,20203,Public Policy and Management,2020,F,AY21,Deborah J. Natoli
PPD-545,Public and Nonprofit Organizational Behavior,4.0,Lecture,51240R,60.0,2:00-5:20pm,Thursday,32.0,24.0,Howard Greenwald,20203,Health Policy and Management,2020,F,AY21,Howard Greenwald
PPD-545,Public and Nonprofit Organizational Behavior,4.0,Lecture,51249R,60.0,6:00-9:20pm,Tuesday,32.0,32.0,Deborah Natoli,20203,Public Policy and Management,2020,F,AY21,Deborah J. Natoli
PPD-545,Public and Nonprofit Organizational Behavior,4.0,Lecture,51473D,593.0,TBA,,25.0,17.0,Kelly Rawlings,20203,Public Policy and Management,2020,F,AY21,Kelly Rawlings
PPD-545,Public and Nonprofit Organizational Behavior,4.0,Lecture,51474D,593.0,TBA,,25.0,19.0,Kelly Rawlings,20203,Public Policy and Management,2020,F,AY21,Kelly Rawlings
PPD-545,Public and Nonprofit Organizational Behavior,4.0,Lecture,51475D,593.0,TBA,,25.0,18.0,Kelly Rawlings,20203,Public Policy and Management,2020,F,AY21,Kelly Rawlings
PPD-545,Public and Nonprofit Organizational Behavior,4.0,Lecture,51476D,593.0,TBA,,25.0,17.0,Kelly Rawlings Adrianne Ward,20203,Public Policy and Management,2020,F,AY21,Kelly Rawlings
PPD-545,Public and Nonprofit Organizational Behavior,4.0,Lecture,51479D,593.0,TBA,,25.0,17.0,Kelly Rawlings Dian Johnson Harrison,20203,Public Policy and Management,2020,F,AY21,Kelly Rawlings
PPD-545,Public and Nonprofit Organizational Behavior,4.0,Lecture,51508R,60.0,6:00-9:20pm,Monday,32.0,31.0,Peter Robertson,20203,Public Policy and Management,2020,F,AY21,Peter J. Robertson
PPD-554,Foundations of Policy Analysis,4.0,Lecture,51274D,60.0,2:00-5:20pm,Tuesday,30.0,30.0,Grace Bahng,20203,Public Policy and Management,2020,F,AY21,Grace Bahng
PPD-554,Foundations of Policy Analysis,4.0,Lecture,51276D,60.0,6:00-9:20pm,Wednesday,41.0,37.0,Grace Bahng,20203,Public Policy and Management,2020,F,AY21,Grace Bahng
PPD-554,Foundations of Policy Analysis,4.0,Lecture,51467D,593.0,TBA,,25.0,12.0,Dr. Dora Kingsley Vertenten,20203,Public Policy and Management,2020,F,AY21,Dora Kingsley Vertenten
PPD-558,Multivariate Statistical Analysis,4.0,Lecture,51247D,60.0,2:00-5:20pm,Thursday,36.0,34.0,Julie Zissimopoulos,20203,Health Policy and Management,2020,F,AY21,Julie M. Zissimopoulos
PPD-561a,Policy Analysis Practicum,1.0,Lecture,51270D,60.0,10:00-12:20pm,Monday,70.0,69.0,Grace Bahng Juliet Musso,20203,Public Policy and Management,2020,F,AY21,Grace Bahng
PPD-571,International Public Policy and Management Seminar,4.0,Lecture,51355D,785.0,2:00-5:20pm,Wednesday,45.0,33.0,Rym Kaki,20203,Public Policy and Management,2020,F,AY21,Rym Kaki
PPD-621,Environmental Impacts,4.0,Lecture,51280R,60.0,8:30-11:50am,Friday,20.0,17.0,Geraldine Knatz,20203,Urban Planning and Spatial Management,2020,F,AY21,Geraldine Knatz
PPD-623,Community Development and Site Planning,4.0,Lecture,51512R,60.0,2:00-5:20pm,Wednesday,32.0,9.0,Elizabeth Falletta,20203,Urban Planning and Spatial Management,2020,F,AY21,Liz Falletta
PPD-631,"Geographic Information Systems for Policy, Planning, and Development",2.0,Lecture,51268R,60.0,10:00-11:50am,Wednesday,16.0,13.0,Mark Hanson,20203,ROTC,2020,F,AY21,Lt. Col Mark R. Burley
PPD-634,Institutional and Policy Issues in Transportation,4.0,Lecture,51239R,60.0,8:30-11:50am,Tuesday,30.0,20.0,Marlon Boarnet,20203,Urban Planning and Spatial Management,2020,F,AY21,Marlon Boarnet
PPD-639,Introduction to Community and Economic Development,4.0,Lecture,51234R,60.0,8:30-11:50am,Monday,32.0,22.0,Elizabeth Halkett,20203,Urban Planning and Spatial Management,2020,F,AY21,Elizabeth Currid-Halkett
PPD-647,Finance of the Public Sector,4.0,Lecture,51287R,60.0,6:00-9:20pm,Wednesday,32.0,26.0,Michael Thom,20203,Public Policy and Management,2020,F,AY21,Michael Thom
PPD-672,Collaborative Governance,4.0,Lecture,51469D,593.0,TBA,,25.0,10.0,William Leach,20203,Public Policy and Management,2020,F,AY21,William Leach
PPD-680,Development of Effective Groups and Organizations,4.0,Lecture,51354D,785.0,2:00-5:20pm,Wednesday,20.0,11.0,Susan Sinclair Grace Cheng,20203,Public Policy and Management,2020,F,AY21,Grace Bahng
PPD-683,Homeland Security and Public Policy,4.0,Lecture,51265R,60.0,6:00-9:20pm,Monday,36.0,36.0,Erroll Southers,20203,Public Policy and Management,2020,F,AY21,Erroll G. Southers
PPD-683,Homeland Security and Public Policy,4.0,Lecture,51397R,597.0,6:00-9:20pm,Monday,3.0,3.0,Erroll Southers,20203,Public Policy and Management,2020,F,AY21,Erroll G. Southers
PPD-685,Human Resources Management in Public and Non-Profit Sectors,2.0,Lecture,51477D,593.0,TBA,,25.0,14.0,Tara Blanc,20203,Public Policy and Management,2020,F,AY21,Tara Blanc
PPD-689,The Nonprofit Sector and Philanthropy,4.0,Lecture,51507R,60.0,2:00-5:20pm,Monday,26.0,11.0,Jim Ferris,20203,Public Policy and Management,2020,F,AY21,James M. Ferris
PPD-706,Research Design,4.0,Lecture,51284D,60.0,2:00-5:20pm,Monday,14.0,14.0,Nicole Esparza,20203,Public Policy and Management,2020,F,AY21,Nicole E. Esparza
PPD-710a,Research Seminar,2.0,Lecture,51210D,60.0,10:00-11:50am,Wednesday,13.0,12.0,Dowell Myers,20203,Urban Planning and Spatial Management,2020,F,AY21,Dowell Myers
